SourcePolityLongName,SuccessorPolityLongName,SourcePolityID,SuccessorPolityID,SuccessionType,Rationale,Citation,ChainOfThought,ModelID,ModelFingerprint,ModelTimestamp
Abbasid Caliphate I,Buyid Confederation,iq_abbasid_cal_1,ir_buyid_confederation,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate I,Fatimid Caliphate,iq_abbasid_cal_1,tn_fatimid_cal,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate I,Emirate of Córdoba,iq_abbasid_cal_1,es_cordoba_emirate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate I,Saffarid Caliphate,iq_abbasid_cal_1,ir_saffarid_emp,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate I,Samanid Empire,iq_abbasid_cal_1,uz_samanid_emp,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate I,Egypt - Tulunid-Ikhshidid Period,iq_abbasid_cal_1,eg_thulunid_ikhshidid,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Abbasid Caliphate II,Ilkhanate,iq_abbasid_cal_2,ir_il_khanate,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Achaemenid Empire,Macedonian Empire,ir_achaemenid_emp,gr_macedonian_emp,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Adal Sultanate,Ethiopia Kingdom,so_adal_sultanate,et_ethiopian_k,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Aghlabid Dynasty,Fatimid Caliphate,tn_aghlabid_dyn,tn_fatimid_cal,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ahmadnagar Sultanate,Mughal Empire,in_ahmadnagar_sultanate,in_mughal_emp,absorption,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ajuran Sultanate,Sultanate of Geledi,so_ajuran_sultanate,so_geledi_sultanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ajuran Sultanate,Majeerteen Sultanate,so_ajuran_sultanate,so_majeerteen_sultanate,secession,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Ak Koyunlu,Safavid Empire,ir_ak_koyunlu,ir_safavid_emp,elite replacement,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Akan - Pre-Ashanti,Ashanti Empire,gh_akan,gh_ashanti_emp,territorial consolidation,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Akkadian Empire,,iq_akkad_emp,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Alaouite Dynasty I,Alawi Dynasty,mo_alawi_dyn_1,mo_alawi_dyn_2,continuity,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
Alawi Dynasty,,mo_alawi_dyn_2,,,,,N/A (Direct JSON output),models/gemini-2.5-pro-preview-05-06,N/A (Gemini),2025-05-20T14:43:11.965960+00:00
