"NGA","PolID","Time","PropCoded","PolPop","PolTerr","CapPop","AdmLev","MilLev","ReligLev","SettlHier","ProfOfficer","ProfSoldier","ProfPriest","FullTBur","ExamSyst","MeritProm","GovtBldg","Court","LegCode","Judge","Lawyer","Irrigation","WaterSuppl","Market","FoodStor","Road","Bridge","Canal","Port","Mine","Courier","PostStation","PostService","Mnemonic","NonWRecord","WRecord","Script","NonPhWrit","PhAlph","Lists","Calendar","SacrTxt","ReligLit","PractLit","History","Philosophy","SciLit","Fiction","Article","Token","PrecMetal","ForCoin","IndigCoin","PaperCurr","Credit","uniq"
"Southern Mesopotamia","iq_abbasid_cal_1",800,96,7.44715803134222,6.91907809237607,5.84509804001426,6,6,2,6,1,1,0,1,0,0.5,1,0,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,0,-999,"y"
"Southern Mesopotamia","iq_abbasid_cal_1",900,96,7,6,5.47712125471966,6,6,2,6,1,1,0,1,0,0.5,1,0,1,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,0,-999,"y"
"Southern Mesopotamia","iq_abbasid_cal_2",1200,75,6.5910646070265,5.8750612633917,6,5,5.5,2,4.5,1,1,0,-999,-999,-999,1,1,1,1,1,1,-999,-999,-999,1,1,1,1,-999,-999,-999,1,-999,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-999,1,-999,1,0,-999,"y"
"Susiana","ir_achaemenid_emp",-500,94,7.36172783601759,6.71180722904119,5.30102999566398,7,7,4,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,0,-999,"y"
"Susiana","ir_achaemenid_emp",-400,94,7.41497334797082,6.60879337398693,5.30102999566398,7,7,4,5.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,-999,1,1,1,0,-999,"y"
"-999","so_adal_sultanate",1400,40,-999,-999,-999,5.5,6.5,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,-999,1,1,-999,1,1,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,1,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"y"
"-999","so_adal_sultanate",1500,40,-999,-999,-999,5.5,6.5,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,-999,1,1,-999,1,1,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,1,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"n"
"-999","tn_aghlabid_dyn",800,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
"-999","tn_aghlabid_dyn",900,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","in_ahmadnagar_sultanate",1500,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"y"
"-999","in_ahmadnagar_sultanate",1600,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"n"
"-999","so_ajuran_sultanate",1300,36,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,1,1,1,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"y"
"-999","so_ajuran_sultanate",1400,36,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,1,1,1,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"n"
"-999","so_ajuran_sultanate",1500,36,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,1,1,1,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"n"
"-999","so_ajuran_sultanate",1600,36,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,1,1,1,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"n"
"-999","so_ajuran_sultanate",1700,36,-999,-999,-999,-999,-999,-999,-999,1,1,-999,-999,-999,-999,-999,1,1,1,-999,1,1,1,1,1,-999,-999,1,-999,-999,-999,-999,-999,-999,1,1,-999,1,-999,1,1,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,"n"
"Susiana","ir_ak_koyunlu",1400,64,-999,6.25527250510331,-999,4,6,2,4,1,1,-999,1,0,0,1,-999,1,-999,-999,-999,-999,1,-999,1,1,1,-999,-999,1,1,-999,-999,-999,1,1,0,1,1,1,1,1,1,1,1,1,1,-999,-999,-999,1,1,-999,-999,"y"
"Susiana","ir_ak_koyunlu",1500,64,-999,6.25527250510331,-999,5,6,2,4,1,1,-999,1,0,0,1,-999,1,-999,-999,-999,-999,1,-999,1,1,1,-999,-999,1,1,-999,-999,-999,1,1,0,1,1,1,1,1,1,1,1,1,1,-999,-999,-999,1,1,-999,-999,"y"
"Ghanaian Coast","gh_akan",1600,89,-999,-999,-999,4,5,2.5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,-999,1,0,0,0,0,1,1,0,0,1,1,0,0,-999,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-999,"y"
