NGA,Longform.Name,PolityID,Variable,Value.From,Value.To,Date.From,Date.To,Date.Note,Comment,PolID Ascribed,Expert Review,References
Konya Plain,Late Cappadocia,tr_cappadocia_2,Agricultural goods involved in trade within polity,inferred present,,-322,-93,Date span is duration of polity.,Castellano describes archaeobotanical finds from sites in southern Cappadocia which point to the presence of large-scale viticulture during the early and late Hellenistic periods (2023: 179-180).,Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Specialty luxury items involved in trade within polity,inferred present,,-200,-125,"Date span corresponds to the century in which Zhang Qian was alive and travelled as an envoy to the Western Regions, the dates could presumably be expanded.","Yang discusses Chinese texts authored by Zhang Qian, who records the established viticulture in the Greco-Bactrian regions visited, including Dayuan, Bactria and Anxi (2020: 449).",Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Precious metals involved in trade within polity,inferred present,,-256,-125,Date span is duration of polity.,Yang discusses Chines written sources about Central Asian regions and the minting of gold and silver coins which was witnessed in the Greco-Bactrian Kingdom (2020: 451; 457; 458).,Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Manufactured goods involved in trade with neighboring polities,inferred present,,-256,-125,Date span is duration of polity.,"Stark describes the regions north of Bactria from the third century BCE and writes: 'the delta marshlands of the Syr-Darya and the Amu-Darya, and perhaps also of the Zerafshan, attracted pastoral groups from the open Central Eurasian steppe lands, especially during the winter months – as did the agricultural produce and craft products (including prestige goods) from the river oases or regions further to the south and southwest (including, of course, Bactria). Needless to say, the procurement of products from the oasis territories by pastoral groups to the north and northeast could take both the form of peaceful trade transactions and of raids – both phenomena are amply attested throughout the history of this frontier zone' (Stark 2020: 79).",Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Specialty luxury items involved in trade with neighboring polities,inferred present,,-256,-125,Date span is duration of polity.,"Stark describes the regions north of Bactria from the third century BCE and writes: 'the delta marshlands of the Syr-Darya and the Amu-Darya, and perhaps also of the Zerafshan, attracted pastoral groups from the open Central Eurasian steppe lands, especially during the winter months – as did the agricultural produce and craft products (including prestige goods) from the river oases or regions further to the south and southwest (including, of course, Bactria). Needless to say, the procurement of products from the oasis territories by pastoral groups to the north and northeast could take both the form of peaceful trade transactions and of raids – both phenomena are amply attested throughout the history of this frontier zone' (Stark 2020: 79).",Y,,
Sogdiana,Greco-Bactrian Kingdom,af_greco_bactrian_k,Specialty luxury items involved in trade with neighboring polities,inferred present,,-256,-125,Date span is duration of polity.,"Stark discusses the existence of elite networks and development of a shared elite material culture across Central Asia prior to and during the Achaemenid period; suggesting that this phenomena likely continued into the Hellenistic history of these regions, despite the lack of written and archaeological evidence: 'Bactria and the various oasis-steppe regions to the north were in close contact with the elites in the steppes from very early on: the fnding of lapis lazuli in the inventory of kurgan I in Shilikty-3 (Baigetobe kurgan) in the Tarbagatay mountains in present- day eastern Kazakhstan, dating between 730 and 690 BCE (Stark and Rubinson 2012, 56, 116; Panyushkina et al. 2016), points to existing connections for the time well before the Achaemenid period. Even more intensive must have been the interactions with powerful nomadic elites in nearer regions' (2020: 81).",Y,,
Middle Yellow River Valley,Qin Empire,cn_qin_emp,Specialty luxury items involved in trade with distant polities,present,,-256,-207,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Western Han Empire,cn_western_han_dyn,Specialty luxury items involved in trade with distant polities,present,,-202,-125,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Qin Empire,cn_qin_emp,Polities involved in long-distance trade involving Specialty luxury items,af_greco_bactrian_k,,-256,-207,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
Middle Yellow River Valley,Western Han Empire,cn_western_han_dyn,Polities involved in long-distance trade involving Specialty luxury items,af_greco_bactrian_k,,-202,-125,Date span is the period of overlap between the two polities.,"Discussing prestige funerary goods from China which entered Central Asia towards the end of the Warring States Period, Stark writes: 'The funeral assemblages from Pazyryk are important for hinting at yet another dynamic that started at around 300 BCE and had far-reaching implications across Central Asia: fnds of objects such as Chinese silk fragments or Chinese lacquer ware indicate the growing role of prestige goods from the northern Chinese plains for purposes of elite representation in the wider region' (2020: 83).",Y,,
