NGA,PolityID,PolityName,Section,Subsection,value_from,value_to,year_from,year_to,is_disputed,is_uncertain
Southern Mesopotamia,132,iq_abbasid_cal_1,sc,polity-territories,8300000,8300000,800,800,False,False
Southern Mesopotamia,132,iq_abbasid_cal_1,sc,polity-territories,1000000,1000000,900,900,False,False
Southern Mesopotamia,484,iq_abbasid_cal_2,sc,polity-territories,750000,750000,1200,1200,False,False
Susiana,107,ir_achaemenid_emp,sc,polity-territories,2500000,4100000,-539,-501,False,False
Susiana,107,ir_achaemenid_emp,sc,polity-territories,4800000,5500000,-500,-451,False,False
Susiana,107,ir_achaemenid_emp,sc,polity-territories,3800000,4325000,-450,-331,False,False
Susiana,508,ir_ak_koyunlu,sc,polity-territories,1800000,1800000,1500,1500,False,False
Ghanaian Coast,113,gh_akan,sc,polity-territories,,,,,False,False
Southern Mesopotamia,476,iq_akkad_emp,sc,polity-territories,450000,1000000,,,False,False
,659,ni_allada_k,sc,polity-territories,4800,4800,,,False,False
,223,ma_almoravid_dyn,sc,polity-territories,4000000,4000000,,,False,False
Southern Mesopotamia,479,iq_babylonia_1,sc,polity-territories,400000,500000,,,False,False
Sogdiana,465,uz_khwarasm_1,sc,polity-territories,,,,,False,False
Sogdiana,463,kz_andronovo,sc,polity-territories,1500,20000,,,False,False
,606,gb_anglo_saxon_2,sc,polity-territories,130279,130279,,,False,False
,563,us_antebellum,sc,polity-territories,621429,621429,1790,1790,False,False
,563,us_antebellum,sc,polity-territories,1638729,1638729,1830,1830,False,False
,563,us_antebellum,sc,polity-territories,3094398,3094398,1860,1860,False,False
Basin of Mexico,6,mx_basin_of_mexico_1,sc,polity-territories,,,,,False,False
Crete,67,gr_crete_archaic,sc,polity-territories,167,167,,,False,False
Ghanaian Coast,114,gh_ashanti_emp,sc,polity-territories,259000,259000,1874,1874,False,False
Kansai,149,jp_ashikaga,sc,polity-territories,295000,295000,,,False,False
Kansai,146,jp_asuka,sc,polity-territories,100000,150000,600,710,False,False
,565,at_habsburg_1,sc,polity-territories,225390,225390,1648,1648,False,False
,567,at_habsburg_2,sc,polity-territories,673396908,673396908,1790,1790,False,False
,284,hu_avar_khaganate,sc,polity-territories,1200000,1200000,600,,True,False
Yemeni Coastal Plain,208,et_aksum_emp_1,sc,polity-territories,300000,400000,,,False,False
