year_from|year_to|predecessor|successor|polity_new_ID|polity_old_ID|polity_long_form_name|conflict_name|contested|overturn|predecessor_assassination|intra_elite|military_revolt|popular_uprising|separatist_rebellion|external_invasion|external_interference
-2686|-2667|Nebka / Horus Sanakht|Djoser / Horus Netjerykhet|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2667|-2648|Djoser / Horus Netjerykhet|Djoser Teti / Horus Sekhemkhet|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2648|-2640|Djoser Teti / Horus Sekhemkhet|Horus Khaba|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2640|-2637|Horus Khaba|Huni / Horus Qahedjet|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2637|-2613|Huni / Horus Qahedjet|Snefru|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|A|A|A|A|A|A|A|A|A
-2613|-2589|Snefru|Khufu / Cheops|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|A|A|A|A|A|A|A|A|A
-2589|-2566|Khufu / Cheops|Djedefre / Redjedef|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|A|A|A|A|A|A|A|A
-2566|-2558|Djedefre / Redjedef|Khafre / Chephren|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2558|-2532|Khafre / Chephren|Menkaure / Mykerinos|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|A|A|A|A|A|A|A|A
-2532|-2503|Menkaure / Mykerinos|Shepseskaf|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|IA|A|A|A|A|A|A|A|A
-2503|-2498|Shepseskaf|Userkaf|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2494|-2487|Userkaf|Sahure|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|A|A|A|A|A|A|A|A
-2487|-2475|Sahure|Neferirkare Kakai|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|A|A|A|A|A|A|A|A
-2475|-2455|Neferirkare Kakai|Shepseskare|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2455|-2448|Shepseskare|Neferefre / Reneferet|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2448|-2445|Neferefre / Reneferet|Niuserre|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2445|-2421|Niuserre|Menkauhor|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2421|-2414|Menkauhor|Djedkare Isesi|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
-2414|-2375|Djedkare Isesi|Unis|eg_old_k_1|EgOldK1|Egypt - Classic Old Kingdom|None|SU|SU|SU|SU|SU|SU|SU|A|SU
