NGA,PolityID,PolityName,Year,Note,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services
Southern Mesopotamia,132,iq_abbasid_cal_1,800,,8300000.0,10465626.31364874,700000.0,6.0,6.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0
Southern Mesopotamia,132,iq_abbasid_cal_1,900,,1000000.0,10372820.063468082,900000.0,6.0,6.0,2.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.0,1.0,1.0,1.0
Southern Mesopotamia,484,iq_abbasid_cal_2,1200,,750000.0,3900000.0,1000000.0,,5.0,2.0,5.2596161080546535,1.0,1.0,0.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,,,1.0
Susiana,107,ir_achaemenid_emp,-500,,5404023.55524812,21312762.341075394,200000.0,5.29179881153917,7.608271950984888,3.8639380675358694,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,
Susiana,107,ir_achaemenid_emp,-400,,4117671.8358613146,24200056.637825835,200000.0,5.2344572378277885,6.635775042028195,3.192162160976844,7.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,
,637,so_adal_sultanate,1400,,,,,,5.644861566880332,,6.380995611422141,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
,637,so_adal_sultanate,1500,,,,,,5.656072090108302,,7.652140511143464,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,
,872,tn_aghlabid_dyn,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,872,tn_aghlabid_dyn,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,879,in_ahmadnagar_sultanate,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,879,in_ahmadnagar_sultanate,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,639,so_ajuran_sultanate,1300,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
,639,so_ajuran_sultanate,1400,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
,639,so_ajuran_sultanate,1500,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
,639,so_ajuran_sultanate,1600,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
,639,so_ajuran_sultanate,1700,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,
,371,ir_ak_koyunlu,1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,371,ir_ak_koyunlu,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Susiana,508,ir_ak_koynlu,1400,,1800000.0,,,3.1860668953651357,3.0,1.6280236620010542,6.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,
Susiana,508,ir_ak_koynlu,1500,,1800000.0,,,3.2468282662667383,5.0,1.9940909941051206,6.0,1.0,1.0,,1.0,0.0,0.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,
