Variable,ShortName,Type,Section,Subsection,variable_name,section,sheet_name,api_variable_name
Polity Population,PolPop,numeric,Social Complexity variables,Social Scale,polity_population,sc,Social complexity,polity_population
Polity territory,PolTerr,numeric,Social Complexity variables,Social Scale,polity_territory,sc,Social complexity,polity_territory
Population of the largest settlement,CapPop,numeric,Social Complexity variables,Social Scale,population_of_the_largest_settlement,sc,Social complexity,population_of_the_largest_settlement
Administrative levels,AdmLev,numeric,Social Complexity variables,Hierarchical Complexity,administrative_level,sc,Social complexity,administrative_level
Military levels,MilLev,numeric,Social Complexity variables,Hierarchical Complexity,military_level,sc,Social complexity,military_level
Religious levels,ReligLev,numeric,Social Complexity variables,Hierarchical Complexity,religious_level,sc,Social complexity,religious_level
Settlement hierarchy,SettlHier,numeric,Social Complexity variables,Hierarchical Complexity,settlement_hierarchy,sc,Social complexity,settlement_hierarchy
Professional military officers,ProfOfficer,binary,Social Complexity variables,Professions,professional_military_officer,sc,Social complexity,professional_military_officer
Professional soldiers,ProfSoldier,binary,Social Complexity variables,Professions,professional_soldier,sc,Social complexity,professional_soldier
Professional priesthood,ProfPriest,binary,Social Complexity variables,Professions,professional_priesthood,sc,Social complexity,professional_priesthood
Full-time bureaucrats,FullTBur,binary,Social Complexity variables,Bureaucracy characteristics,full_time_bureaucrat,sc,Social complexity,full_time_bureaucrat
Examination system,ExamSyst,binary,Social Complexity variables,Bureaucracy characteristics,examination_system,sc,Social complexity,examination_system
Merit promotion,MeritProm,binary,Social Complexity variables,Bureaucracy characteristics,merit_promotion,sc,Social complexity,merit_promotion
Specialized government buildings,GovtBldg,binary,Social Complexity variables,Bureaucracy characteristics,specialized_government_building,sc,Social complexity,specialized_government_building
Courts,Court,binary,Social Complexity variables,Law,court,sc,Social complexity,court
Formal legal code,LegCode,binary,Social Complexity variables,Law,formal_legal_code,sc,Social complexity,formal_legal_code
Judges,Judge,binary,Social Complexity variables,Law,judge,sc,Social complexity,judge
